char_name,sol,ky,may,axl,chipp,potemkin,faust,millia,zato,ramlethal,leo,nagoriyuki,giovanna,anji,i-no,goldlewis,jack-o
sol,0.5,0.5171279802685668,0.5179045092838196,0.4908933217692975,0.520655737704918,0.49653679653679655,0.5691823899371069,0.5802943058221369,0.553757225433526,0.5228450306170513,0.5260311020960108,0.4750530785562633,0.49573055028463,0.5124703087885986,0.5162744116174262,0.5204359673024523,0.5219512195121951
ky,0.4828720197314333,0.5,0.5191308455361361,0.3863481228668942,0.5095127610208817,0.4440907282132909,0.4968474148802018,0.5310316481709824,0.48704926358557643,0.5131926121372031,0.486284289276808,0.46762286437460454,0.5060690943043884,0.47575057736720555,0.4863617289131347,0.4405422057917437,0.49519890260631
may,0.48209549071618035,0.48086915446386397,0.5,0.5176579925650557,0.4308300395256917,0.5062611806797853,0.5272525027808677,0.48,0.4685185185185185,0.4707241910631741,0.5051353874883286,0.5159862272503689,0.49765258215962443,0.4644628099173554,0.4820261437908497,0.4511904761904762,0.5200698080279232
axl,0.5091066782307025,0.6136518771331058,0.48234200743494426,0.5,0.4099462365591398,0.5988857938718662,0.6302521008403361,0.3986013986013986,0.5346260387811634,0.48706099815157117,0.584070796460177,0.5465561224489796,0.4807692307692308,0.45934959349593496,0.418452935694315,0.5872641509433962,0.5170178282009724
chipp,0.479344262295082,0.49048723897911833,0.5691699604743083,0.5900537634408602,0.5,0.478539397821909,0.5482993197278911,0.5423412204234122,0.526075022872827,0.5641025641025641,0.4644243208279431,0.5090450147244425,0.5078485687903971,0.433392539964476,0.49379178605539636,0.5231116121758738,0.5146299483648882
potemkin,0.5034632034632035,0.5559092717867091,0.4937388193202147,0.4011142061281337,0.521460602178091,0.5,0.5511727078891258,0.564935064935065,0.5654565456545655,0.5332235035694673,0.5848540145985401,0.5002050020500205,0.5025089605734767,0.5413654618473895,0.4953810623556582,0.3628472222222222,0.45755968169761274
faust,0.4308176100628931,0.5031525851197982,0.4727474972191324,0.3697478991596639,0.45170068027210886,0.4488272921108742,0.5,0.4107327141382869,0.44680851063829785,0.40828402366863903,0.44878957169459965,0.4181007010834927,0.3984272608125819,0.38596491228070173,0.4572396274343776,0.45120551090700345,0.5047923322683706
millia,0.4197056941778631,0.4689683518290177,0.52,0.6013986013986014,0.4576587795765878,0.43506493506493504,0.5892672858617131,0.5,0.4952978056426332,0.5260243632336655,0.4566929133858268,0.46286472148541113,0.5549363057324841,0.5422343324250681,0.5,0.3964828137490008,0.564152791380999
zato,0.446242774566474,0.5129507364144236,0.5314814814814814,0.46537396121883656,0.4739249771271729,0.43454345434543457,0.5531914893617021,0.5047021943573667,0.5,0.5113566605279313,0.5717619603267211,0.4838318512530315,0.5271370420624152,0.571150097465887,0.504594820384294,0.4563662374821173,0.4903417533432392
ramlethal,0.47715496938294866,0.4868073878627968,0.5292758089368259,0.5129390018484289,0.4358974358974359,0.46677649643053265,0.591715976331361,0.4739756367663344,0.4886433394720687,0.5,0.5316681534344335,0.4487597911227154,0.4510532837670384,0.5122832369942196,0.3963782696177062,0.5197195442594216,0.564
leo,0.47396889790398916,0.513715710723192,0.49486461251167135,0.415929203539823,0.535575679172057,0.41514598540145986,0.5512104283054003,0.5433070866141733,0.4282380396732789,0.4683318465655665,0.5,0.383454443823365,0.519730510105871,0.5412147505422994,0.4731958762886598,0.4274004683840749,0.5650118203309693
nagoriyuki,0.5249469214437368,0.5323771356253955,0.4840137727496311,0.4534438775510204,0.4909549852755574,0.4997949979499795,0.5818992989165074,0.5371352785145889,0.5161681487469685,0.5512402088772846,0.616545556176635,0.5,0.49352818371607515,0.5114309906858594,0.5309597523219814,0.5604083947816222,0.5340086830680174
giovanna,0.50426944971537,0.4939309056956116,0.5023474178403756,0.5192307692307693,0.492151431209603,0.4974910394265233,0.601572739187418,0.4450636942675159,0.4728629579375848,0.5489467162329615,0.480269489894129,0.5064718162839248,0.5,0.5016949152542373,0.44359171143514964,0.47845804988662133,0.5028376844494892
anji,0.48752969121140144,0.5242494226327945,0.5355371900826447,0.540650406504065,0.566607460035524,0.45863453815261046,0.6140350877192983,0.45776566757493187,0.42884990253411304,0.4877167630057804,0.45878524945770066,0.48856900931414055,0.49830508474576274,0.5,0.5145413870246085,0.4695912263210369,0.49940828402366866
i-no,0.48372558838257385,0.5136382710868653,0.5179738562091504,0.581547064305685,0.5062082139446036,0.5046189376443418,0.5427603725656224,0.5,0.4954051796157059,0.6036217303822937,0.5268041237113402,0.46904024767801855,0.5564082885648504,0.4854586129753915,0.5,0.5487179487179488,0.5582047685834503
goldlewis,0.47956403269754766,0.5594577942082564,0.5488095238095239,0.41273584905660377,0.4768883878241263,0.6371527777777778,0.5487944890929966,0.6035171862509991,0.5436337625178826,0.4802804557405784,0.572599531615925,0.43959160521837776,0.5215419501133787,0.5304087736789631,0.4512820512820513,0.5,0.5626373626373626
jack-o,0.47804878048780486,0.50480109739369,0.4799301919720768,0.4829821717990275,0.4853700516351119,0.5424403183023873,0.4952076677316294,0.435847208619001,0.5096582466567607,0.436,0.43498817966903075,0.46599131693198265,0.49716231555051077,0.5005917159763313,0.4417952314165498,0.43736263736263736,0.5
